order_id,customer_id,order_date
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
2,102,2023-08-03
